name,description,nutrition
biscotti,"<div class=""jss65"">unibic almond biscotti, <!-- -->2<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 59<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Sponge Finger (Savoiardi),"<div class=""jss65"">Unibic, <!-- -->21<!-- --> <!-- -->gram (1 sponge finger)</div>","<div class=""jss70"">Calories: 80<!-- --> <span class=""jss67"">•</span>Carbs: 16g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Orange Milk Cookies,"<div class=""jss65"">Unibic, <!-- -->13<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 490<!-- --> <span class=""jss67"">•</span>Carbs: 67g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
snack bar,"<div class=""jss65"">unibic, <!-- -->30<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 137<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Choco nutty,"<div class=""jss65"">Unibic, <!-- -->30<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 164<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Ragi Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 526<!-- --> <span class=""jss67"">•</span>Carbs: 59g<!-- --> <span class=""jss67"">•</span>Fat: 30g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Almond Biscotti,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 25<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Orange Wafers,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 524<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 27g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Fruit and Nut Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 490<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
butter cookie,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 497<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Uni biscuit,"<div class=""jss65"">Unibic, <!-- -->40<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 199<!-- --> <span class=""jss67"">•</span>Carbs: 26g<!-- --> <span class=""jss67"">•</span>Fat: 9g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Ginger Cookie,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 5<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Orange splash,"<div class=""jss65"">Unibic, <!-- -->120<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 490<!-- --> <span class=""jss67"">•</span>Carbs: 67g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Chillli butter cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 487<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
multigrain choco,"<div class=""jss65"">unibic, <!-- -->30<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 133<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Digestive cookie,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->pack</div>","<div class=""jss70"">Calories: 709<!-- --> <span class=""jss67"">•</span>Carbs: 93g<!-- --> <span class=""jss67"">•</span>Fat: 30g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Go Nutty,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->bar</div>","<div class=""jss70"">Calories: 173<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
choco yummy,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 496<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Almond Biscottiv2,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 25<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
oatmeal cookie,"<div class=""jss65"">unibic, <!-- -->60<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 488<!-- --> <span class=""jss67"">•</span>Carbs: 56g<!-- --> <span class=""jss67"">•</span>Fat: 26g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Choco Kiss Cookies,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->cookie</div>","<div class=""jss70"">Calories: 63<!-- --> <span class=""jss67"">•</span>Carbs: 8g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Anzac Biscuits,"<div class=""jss65"">Unibic - Australia's Authentic Reciped, <!-- -->25<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
