name,description,nutrition
Waffy Strawberry,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 484<!-- --> <span class=""jss67"">•</span>Carbs: 75g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Light Mayo,"<div class=""jss65"">Dukes L, <!-- -->1<!-- --> <!-- -->tb</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
"""shorty"" Smoked Sausages","<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->Links</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Fizzing Whizzbees,"<div class=""jss65"">Honey Dukes, <!-- -->40<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 190<!-- --> <span class=""jss67"">•</span>Carbs: 32g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Beef Jerky ,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->peicea</div>","<div class=""jss70"">Calories: 80<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Caesar Side Salad,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->salad</div>","<div class=""jss70"">Calories: 113<!-- --> <span class=""jss67"">•</span>Carbs: 8g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Club soda,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 0<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Chicken Fingers,"<div class=""jss65"">Dukes, <!-- -->3<!-- --> <!-- -->fingers</div>","<div class=""jss70"">Calories: 1053<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Viki's Tartar Sauce,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->T</div>","<div class=""jss70"">Calories: 160<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Beef Chili,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 444<!-- --> <span class=""jss67"">•</span>Carbs: 30g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 35g</div>"
Mayo,"<div class=""jss65"">(Sw) Dukes Mayo, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Smoked Shorty Sausage,"<div class=""jss65"">Dukes, <!-- -->25<!-- --> <!-- -->g (2 links)</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Dukes Breadstick,"<div class=""jss65"">Duke's, <!-- -->1<!-- --> <!-- -->breadstick</div>","<div class=""jss70"">Calories: 127<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Chicken Pizza,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 354<!-- --> <span class=""jss67"">•</span>Carbs: 41g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 21g</div>"
ranch crackers,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 508<!-- --> <span class=""jss67"">•</span>Carbs: 70g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
"Mayonnaise: Dukes Light, Bluecat","<div class=""jss65"">Condiment, <!-- -->1<!-- --> <!-- -->Tbsp (15g)</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Minees Cookies,"<div class=""jss65"">Dukes, <!-- -->35<!-- --> <!-- -->gr</div>","<div class=""jss70"">Calories: 160<!-- --> <span class=""jss67"">•</span>Carbs: 27g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Nice biscuits,"<div class=""jss65"">dukes, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 456<!-- --> <span class=""jss67"">•</span>Carbs: 74g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Clam Chowder,"<div class=""jss65"">Dukes Chowder House, <!-- -->6<!-- --> <!-- -->ounces</div>","<div class=""jss70"">Calories: 420<!-- --> <span class=""jss67"">•</span>Carbs: 16g<!-- --> <span class=""jss67"">•</span>Fat: 32g<!-- --> <span class=""jss67"">•</span>Protein: 27g</div>"
Deli Turkey,"<div class=""jss65"">Dukes, <!-- -->3<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 75<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 14g</div>"
